variable_id,Mass,Metabolite,KEGG,HMDB,CAS,ChEBI,ppm,Mode,med,Ions,MSMS,Used.for.Quant,Super.pathway,Sub.pathway,true_name,mean_int
pHILIC_790.5707_2,790.5707_2,PC(P-38:6),,,,,-4.838662612,pHILIC,1.00E+05,[M+H]+,YES,Y,,,PC(P-38:6),36436730.78
pHILIC_816.5884_5,816.5884_5,PC(P-40:7),,,,,-2.170838629,pHILIC,1.00E+05,[M+H]+,YES,Y,,,PC(P-40:7),183312.2746
pHILIC_850.6644_5,850.6644_5,PC(P-42:5),,,,,-4.732279534,pHILIC,3.00E+05,[M+H]+,YES,Y,,,PC(P-42:5),744638.6538
nHILIC_716.5258_4.7,716.5258_4.7,PE(34:1),,HMDB0009250,,,3.101006855,nHILIC,60000,[M-H]-,YES,Y,,,PE(34:1),91053.01902
pHILIC_716.5208_3.9,716.5208_3.9,PE(34:2),,HMDB0008960,,,-2.354757741,pHILIC,8.00E+05,[M+H]+,YES,Y,,,PE(34:2),1036554.924
nHILIC_742.5417_4.6,742.5417_4.6,PE(36:2),,HMDB0009026,,,3.328645545,nHILIC,4.00E+06,[M-H]-,YES,Y,,,PE(36:2),4361437.977
nHILIC_740.525_4.5,740.525_4.5,PE(36:3),,HMDB0009027,,,1.921797659,nHILIC,2.00E+05,[M-H]-,YES,Y,,,PE(36:3),237778.7106
nHILIC_738.511_4.5,738.511_4.5,PE(36:4),,HMDB0009062,,,4.158300184,nHILIC,4.00E+05,[M-H]-,YES,Y,,,PE(36:4),433102.7035
pHILIC_738.5049_3.9,738.5049_3.9,PE(36:5),,HMDB0009063,,,-2.623462026,pHILIC,1.00E+05,[M+H]+,YES,Y,,,PE(36:5),231362.2319
pHILIC_764.5217_4.2,764.5217_4.2,PE(38:6),,HMDB0009390,,,-1.027958319,pHILIC,1.00E+06,[M+H]+,YES,Y,,,PE(38:6),1872642.669
nHILIC_700.5312_4.5,700.5312_4.5,PE(P-34:1),,,,,3.620182032,nHILIC,60000,[M-H]-,YES,Y,,,PE(P-34:1),90648.39535
pHILIC_728.5563_4.5,728.5563_4.5,PE(P-36:2),,,,,-3.532912463,pHILIC,8.00E+05,[M+H]+,YES,Y,,,PE(P-36:2),919968.5244
nHILIC_724.5298_4.4,724.5298_4.4,PE(P-36:3),,,,,1.57083219,nHILIC,4.00E+05,[M-H]-,YES,Y,,,PE(P-36:3),470907.8572
pHILIC_724.5254_4.4,724.5254_4.4,PE(P-36:4),,,,,-2.99956413,pHILIC,3.00E+06,[M+H]+,YES,Y,,,PE(P-36:4),3189886.131
pHILIC_722.5093_4.2,722.5093_4.2,PE(P-36:5),,,,,-3.631556014,pHILIC,2.00E+05,[M+H]+,YES,Y,,,PE(P-36:5),256706.8455
pHILIC_752.5554_4.3,752.5554_4.3,PE(P-38:4),,,,,-4.617624484,pHILIC,4.00E+06,[M+H]+,YES,Y,,,PE(P-38:4),4746778.253
pHILIC_750.5399_3.1,750.5399_3.1,PE(P-38:5),,,,,-4.429831219,pHILIC,3.00E+06,[M+H]+,YES,Y,,,PE(P-38:5),5125911.928
nHILIC_746.5159_4.2,746.5159_4.2,PE(P-38:6),,,,,3.865781125,nHILIC,9.00E+05,[M-H]-,YES,Y,,,PE(P-38:6),1015193.597
pHILIC_776.5554_3,776.5554_3,PE(P-40:6),,,,,-4.474728145,pHILIC,1.00E+06,[M+H]+,YES,Y,,,PE(P-40:6),2494677.803
nHILIC_777.5678_4.3,777.5678_4.3,PG(36:0),,HMDB0010602,,,3.46095331,nHILIC,3.00E+05,[M-H]-,YES,Y,,,PG(36:0),362565.1022
nRPLC_172.9914_0.9,172.9914_0.9,Phenol sulphate,C00850,HMDB60015,,HMDB,0.003620717,nRPLC,1.00E+06,[M-H]-,YES,Y,Amino Acid,Tyrosine Metabolism,Phenol sulphate,2244594.126
pRPLC_313.1548_3.5,313.1548_3.5,Phenylalanylphenylalanine,,HMDB13302,2577-40-4,HMDB,0.40840946,pRPLC,20000,[M+H]+,YES,Y,Peptide,Dipeptide,Phenylalanylphenylalanine,24994.21259
nRPLC_163.0765_7.4,163.0765_7.4,Phenylbutyric acid,,HMDB00329,90-27-7,HMDB,0.306989515,nRPLC,60000,[M-H]-,YES,Y,Xenobiotics,Benzoate Metabolism,Phenylbutyric acid,67820.16287
nRPLC_165.0556_2.3,165.0556_2.3,Phenyllactate (PLA),C05607,HMDB00779,,,-0.687607008,nRPLC,70000,[M-H]-,YES,Y,Amino Acid,Phenylalanine Metabolism,Phenyllactate (PLA),72163.09867
nHILIC_835.537_5.2,835.537_5.2,PI(34:1),,HMDB0009783,,,3.348071426,nHILIC,3.00E+05,[M-H]-,YES,Y,,,PI(34:1),345572.8698
nHILIC_833.5227_5.2,833.5227_5.2,PI(34:2),,HMDB0009835,,,4.97390639,nHILIC,4.00E+05,[M-H]-,YES,Y,,,PI(34:2),439313.9786
nHILIC_969.5442_9.2,969.5442_9.2,PIP(38:2),,HMDB0009999,,,-3.379307608,nHILIC,90000,[M-H]-,YES,Y,,,PIP(38:2),99117.35635
nRPLC_495.2962_9.1,495.2962_9.1,Pregnanediol-3-glucuronide,C03033,HMDB10318,,HMDB,-0.278829397,nRPLC,50000,[M-H]-,YES,Y,Lipid,Progestin Steroids,Pregnanediol-3-glucuronide,91095.23263
nRPLC_397.2054_9.6,397.2054_9.6,Pregnanolone sulfate,,HMDB0240590,,,2.198993262,nRPLC,2.00E+06,[M-H]-,YES,Y,Lipid,Progestin Steroids,Pregnanolone sulfate,2492431.779
nRPLC_395.1897_10,395.1897_10,Pregnenolone sulfate,,HMDB00774,1247-64-9,HMDB,-0.163615583,nRPLC,2.00E+05,[M-H]-,YES,Y,Lipid,Progestin Steroids,Pregnenolone sulfate,207310.8604
pHILIC_219.0795_5,219.0795_5,Pro-Cys or Cys-Pro,,HMDB28783|HMDB29014,,HMDB|HMDB|Drugbank,-1.34365578532509|-1.34365578532509|2.74010600703997,pHILIC,1.00E+06,[M+H]+,YES,Y,Peptide,Dipeptide,Pro-Cys or Cys-Pro,1359196.629
pHILIC_229.1181_10.9,229.1181_10.9,pro-hydroxy-pro,,HMDB06695,,,-0.819820822,pHILIC,3.00E+05,[M+H]+,YES,Y,Amino Acid,Urea cycle; Arginine and Proline Metabolism,pro-hydroxy-pro,307135.2368
pRPLC_676.417_10.7,676.417_10.7,PS(28:2),,HMDB12342,,HMDB,-2.093130967,pRPLC,20000,[M+H]+,YES,Y,,,PS(28:2),28662.07656
pRPLC_706.4648_11.2,706.4648_11.2,PS(30:1),,HMDB0012363,,,-0.799357840943465|-0.799357840943465|-0.799357840943465|-0.799357840943465|-4.15811713242703,pRPLC,1.00E+05,[M+H]+,YES,Y,,,PS(30:1),195700.053
pRPLC_704.4472_10.9,704.4472_10.9,PS(30:2),,HMDB0012364,,,-3.57365132211743|-3.57365132211743|-3.87512554039268,pRPLC,90000,[M+H]+,YES,Y,,,PS(30:2),106832.8636
pRPLC_730.4663_11.3,730.4663_11.3,PS(32:3),,HMDB0012347,,,1.283261944,pRPLC,50000,[M+H]+,YES,Y,,,PS(32:3),88801.32551
nHILIC_243.0621_5.8,243.0621_5.8,Pseudouridine,C02067,HMDB00767,1445-07-4,HMDB,-0.639678767,nHILIC,4.00E+06,[M-H]-,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing""",Pseudouridine,3621498.362
pRPLC_647.5116_11.7,647.5116_11.7,SM(d18:1/12:0),C00550,HMDB12096,,HMDB,-1.012407775,pRPLC,2.00E+05,[M+H]+,YES,Y,,,SM(d18:1/12:0),327144.2313
pRPLC_675.5429_12.6,675.5429_12.6,SM(d18:1/14:0),,HMDB12097,,HMDB,-0.97052547,pRPLC,6.00E+06,[M+H]+,YES,Y,,,SM(d18:1/14:0),7753977.135
pHILIC_703.5724_5.7,703.5724_5.7,SM(d18:1/16:0),C00550,HMDB13464,,HMDB,-3.494027714,pHILIC,1.00E+07,[M+H]+,YES,Y,,,SM(d18:1/16:0),15280610.17
pHILIC_731.6033_5.7,731.6033_5.7,SM(d18:1/18:0),C00550,HMDB12088,,HMDB,-3.907645158,pHILIC,3.00E+06,[M+H]+,YES,Y,,,SM(d18:1/18:0),3312948.861
pHILIC_785.6497_5.6,785.6497_5.6,SM(d18:1/22:1),C00550,HMDB12104,,HMDB,-4.33968635,pHILIC,6.00E+06,[M+H]+,YES,Y,,,SM(d18:1/22:1),7113340.705
pHILIC_813.6806_5.6,813.6806_5.6,SM(d18:1/24:1),C00550,HMDB12107,,HMDB,-4.682361173,pHILIC,8.00E+06,[M+H]+,YES,Y,,,SM(d18:1/24:1),9151088.073
nHILIC_214.0488_7.2,214.0488_7.2,sn-glycero-3-Phosphoethanolamine,C01233,HMDB00114,1190-00-7,HMDB,0.959298616,nHILIC,4.00E+05,[M-H]-,YES,Y,Lipid,Phospholipid Metabolism,sn-glycero-3-Phosphoethanolamine,454333.2839
pRPLC_382.2719_9.6,382.2719_9.6,Sphinganine 1-phosphate,C01120,HMDB01383,19794-97-9,HMDB,0.551042475,pRPLC,40000,[M+H]+,YES,Y,Lipid,Sphingolipid Metabolism,Sphinganine 1-phosphate,52742.90958
nRPLC_455.2472_11,455.2472_11,Sulfolithocholic acid,,HMDB00907,34669-57-3,HMDB,-0.1746876,nRPLC,2.00E+05,[M-H]-,YES,Y,Lipid,Secondary Bile Acid Metabolism,Sulfolithocholic acid,254661.7294
nRPLC_514.2838_9.6,514.2838_9.6,Taurocholic acid,C05122,HMDB00036,81-24-3,HMDB,-1.151754849,nRPLC,60000,[M-H]-,YES,Y,Lipid,Primary Bile Acid Metabolism,Taurocholic acid,524948.5173
nRPLC_498.2892_10.3,498.2892_10.3,Tauroursodeoxycholic acid,,HMDB00874,14605-22-2,HMDB,-0.55851986,nRPLC,3.00E+05,[M-H]-,YES,Y,Lipid,Secondary Bile Acid Metabolism,Tauroursodeoxycholic acid,1287255.961
nRPLC_539.2494_7,539.2494_7,Tetrahydroaldosterone-3-glucuronide,,HMDB10357,20605-81-6,HMDB,-0.707297131,nRPLC,6.00E+05,[M-H]-,YES,Y,Lipid,Androgenic Steroids,Tetrahydroaldosterone-3-glucuronide,642400.7224
nRPLC_365.2333_9.7,365.2333_9.7,Tetrahydrocortisol,C05472,HMDB00949,53-02-1,HMDB,-0.120680237,nRPLC,2.00E+05,[M-H]-,YES,Y,Lipid,Androgenic Steroids,Tetrahydrocortisol,161875.9148
nHILIC_135.0299_7.9,135.0299_7.9,Threonic acid,C01620,HMDB00943,12/4/09,HMDB,0.04876608,nHILIC,2.00E+06,[M-H]-,YES,Y,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,Threonic acid,2638733.675
pHILIC_247.1437_5.3,247.1437_5.3,Tryptophan betaine,C09213,HMDB61115,,,-1.656926675,pHILIC,1.00E+06,[M+H]+,YES,Y,Amino Acid,Tryptophan Metabolism,Tryptophan betaine,2191858.74
nHILIC_111.0199_3.4,111.0199_3.4,Uracil,C00106,HMDB00300,66-22-8,HMDB,-0.869271189,nHILIC,80000,[M-H]-,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing""",Uracil,86078.93325
